film_id,title,rating,description
1,ACADEMY DINOSAUR,PG,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies
2,ACE GOLDFINGER,G,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China
3,ADAPTATION HOLES,NC-17,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory
4,AFFAIR PREJUDICE,G,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank
5,AFRICAN EGG,G,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico
6,AGENT TRUMAN,PG,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China
7,AIRPLANE SIERRA,PG-13,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat
8,AIRPORT POLLOCK,R,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India
9,ALABAMA DEVIL,PG-13,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat
10,ALADDIN CALENDAR,NC-17,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China
11,ALAMO VIDEOTAPE,G,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention
12,ALASKA PHANTOM,PG,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia
13,ALI FOREVER,PG,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies
14,ALICE FANTASIA,NC-17,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia
15,ALIEN CENTER,NC-17,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention
16,ALLEY EVOLUTION,NC-17,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans
17,ALONE TRIP,R,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House
18,ALTER VICTORY,PG-13,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies
19,AMADEUS HOLY,PG,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon
20,AMELIE HELLFIGHTERS,R,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon
21,AMERICAN CIRCUS,R,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank
22,AMISTAD MIDSUMMER,G,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California
23,ANACONDA CONFESSIONS,R,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia
24,ANALYZE HOOSIERS,R,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert
25,ANGELS LIFE,G,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin
26,ANNIE IDENTITY,G,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park
